skill1,skill2,value,type
Concept Development,Brand Architecture,4,h-h
Marketing,Creative Direction,18,h-h
Marketing Strategy,Creative Direction,6,h-h
Strategy,Creative Direction,6,h-h
Creative Direction,Brand Development,30,h-h
Creative Direction,Brand Management,4,h-h
Customer Insight,Creative Direction,4,h-h
Digital Marketing,Creative Direction,20,h-h
Integrated Marketing,Creative Direction,20,h-h
Marketing Communications,Creative Direction,14,h-h
Public Relations,Creative Direction,4,h-h
Social Media Marketing,Creative Direction,16,h-h
Creative Direction,Copywriting,18,h-h
Digital Media,Creative Direction,16,h-h
Creative Strategy,Creative Direction,22,h-h
Digital Strategy,Creative Direction,20,h-h
Creative Direction,Brand Architecture,4,h-h
Marketing,Brand Development,24,h-h
Marketing,Brand Management,22,h-h
Marketing,Customer Insight,10,h-h
Marketing,Digital Marketing,248,h-h
Marketing,Integrated Marketing,74,h-h
Marketing Communications,Marketing,312,h-h
Public Relations,Marketing,296,h-h
Social Media Marketing,Marketing,340,h-h
Marketing,Copywriting,50,h-h
Marketing,Digital Media,66,h-h
Marketing,Creative Strategy,18,h-h
Marketing,Digital Strategy,80,h-h
Marketing,Brand Architecture,4,h-h
Marketing Strategy,Brand Development,14,h-h
Marketing Strategy,Brand Management,22,h-h
Marketing Strategy,Customer Insight,14,h-h
Marketing Strategy,Digital Marketing,206,h-h
Marketing Strategy,Integrated Marketing,60,h-h
Marketing Strategy,Marketing Communications,258,h-h
Public Relations,Marketing Strategy,192,h-h
Social Media Marketing,Marketing Strategy,274,h-h
Marketing Strategy,Copywriting,24,h-h
Marketing Strategy,Digital Media,36,h-h
Marketing Strategy,Creative Strategy,8,h-h
Marketing Strategy,Digital Strategy,52,h-h
Marketing Strategy,Brand Architecture,4,h-h
Strategy,Brand Development,14,h-h
Strategy,Brand Management,16,h-h
Strategy,Customer Insight,16,h-h
Strategy,Digital Marketing,194,h-h
Strategy,Integrated Marketing,48,h-h
Strategy,Marketing Communications,218,h-h
Strategy,Public Relations,150,h-h
Strategy,Social Media Marketing,190,h-h
Strategy,Copywriting,20,h-h
Strategy,Digital Media,22,h-h
Strategy,Creative Strategy,8,h-h
Strategy,Digital Strategy,42,h-h
Strategy,Brand Architecture,4,h-h
Brand Management,Brand Development,10,h-h
Customer Insight,Brand Development,10,h-h
Digital Marketing,Brand Development,28,h-h
Integrated Marketing,Brand Development,28,h-h
Marketing Communications,Brand Development,22,h-h
Public Relations,Brand Development,4,h-h
Social Media Marketing,Brand Development,18,h-h
Copywriting,Brand Development,18,h-h
Digital Media,Brand Development,18,h-h
Creative Strategy,Brand Development,26,h-h
Digital Strategy,Brand Development,22,h-h
Brand Development,Brand Architecture,4,h-h
Customer Insight,Brand Management,10,h-h
Digital Marketing,Brand Management,18,h-h
Integrated Marketing,Brand Management,14,h-h
Marketing Communications,Brand Management,18,h-h
Public Relations,Brand Management,12,h-h
Social Media Marketing,Brand Management,12,h-h
Copywriting,Brand Management,6,h-h
Digital Media,Brand Management,4,h-h
Creative Strategy,Brand Management,4,h-h
Digital Strategy,Brand Management,4,h-h
Brand Management,Brand Architecture,4,h-h
Digital Marketing,Customer Insight,12,h-h
Integrated Marketing,Customer Insight,10,h-h
Marketing Communications,Customer Insight,10,h-h
Public Relations,Customer Insight,4,h-h
Social Media Marketing,Customer Insight,4,h-h
Customer Insight,Copywriting,4,h-h
Digital Media,Customer Insight,4,h-h
Customer Insight,Creative Strategy,4,h-h
Digital Strategy,Customer Insight,6,h-h
Customer Insight,Brand Architecture,4,h-h
Integrated Marketing,Digital Marketing,78,h-h
Marketing Communications,Digital Marketing,214,h-h
Public Relations,Digital Marketing,150,h-h
Social Media Marketing,Digital Marketing,216,h-h
Digital Marketing,Copywriting,46,h-h
Digital Media,Digital Marketing,64,h-h
Digital Marketing,Creative Strategy,22,h-h
Digital Strategy,Digital Marketing,86,h-h
Digital Marketing,Brand Architecture,4,h-h
Marketing Communications,Integrated Marketing,72,h-h
Public Relations,Integrated Marketing,30,h-h
Social Media Marketing,Integrated Marketing,68,h-h
Integrated Marketing,Copywriting,26,h-h
Integrated Marketing,Digital Media,40,h-h
Integrated Marketing,Creative Strategy,22,h-h
Integrated Marketing,Digital Strategy,48,h-h
Integrated Marketing,Brand Architecture,4,h-h
Public Relations,Marketing Communications,196,h-h
Social Media Marketing,Marketing Communications,252,h-h
Marketing Communications,Copywriting,34,h-h
Marketing Communications,Digital Media,46,h-h
Marketing Communications,Creative Strategy,16,h-h
Marketing Communications,Digital Strategy,58,h-h
Marketing Communications,Brand Architecture,4,h-h
Social Media Marketing,Public Relations,214,h-h
Public Relations,Copywriting,26,h-h
Public Relations,Digital Media,18,h-h
Public Relations,Creative Strategy,4,h-h
Public Relations,Digital Strategy,14,h-h
Public Relations,Brand Architecture,4,h-h
Social Media Marketing,Copywriting,50,h-h
Social Media Marketing,Digital Media,64,h-h
Social Media Marketing,Creative Strategy,18,h-h
Social Media Marketing,Digital Strategy,76,h-h
Social Media Marketing,Brand Architecture,4,h-h
Digital Media,Copywriting,32,h-h
Creative Strategy,Copywriting,18,h-h
Digital Strategy,Copywriting,34,h-h
Copywriting,Brand Architecture,4,h-h
Digital Media,Creative Strategy,18,h-h
Digital Strategy,Digital Media,62,h-h
Digital Media,Brand Architecture,4,h-h
Digital Strategy,Creative Strategy,22,h-h
Creative Strategy,Brand Architecture,4,h-h
Digital Strategy,Brand Architecture,4,h-h
Leadership,Customer Service,1144,h-h
Management,Customer Service,1270,h-h
Microsoft Office,Customer Service,1038,h-h
Team Leadership,Customer Service,292,h-h
Customer Service,Change Management,182,h-h
Program Management,Customer Service,276,h-h
Project Management,Customer Service,698,h-h
Customer Service,Business Development,484,h-h
Strategic Planning,Customer Service,612,h-h
Strategy,Customer Service,412,h-h
Training,Customer Service,656,h-h
Process Improvement,Customer Service,228,h-h
Sales,Customer Service,822,h-h
Customer Service,Budgets,224,h-h
Logistics,Customer Service,104,h-h
Operations Management,Customer Service,232,h-h
Project Planning,Customer Service,216,h-h
Team Building,Customer Service,366,h-h
Negotiation,Customer Service,364,h-h
Microsoft Office,Leadership,1046,h-h
Team Leadership,Leadership,386,h-h
Leadership,Change Management,498,h-h
Program Management,Leadership,622,h-h
Training,Leadership,762,h-h
Process Improvement,Leadership,462,h-h
Leadership,Budgets,300,h-h
Logistics,Leadership,114,h-h
Operations Management,Leadership,258,h-h
Project Planning,Leadership,362,h-h
Team Building,Leadership,420,h-h
Negotiation,Leadership,458,h-h
Team Leadership,Management,394,h-h
Management,Change Management,576,h-h
Training,Management,820,h-h
Process Improvement,Management,558,h-h
Management,Budgets,384,h-h
Management,Logistics,132,h-h
Operations Management,Management,268,h-h
Project Planning,Management,542,h-h
Team Building,Management,416,h-h
Negotiation,Management,496,h-h
Team Leadership,Microsoft Office,340,h-h
Microsoft Office,Change Management,270,h-h
Microsoft Office,Business Development,376,h-h
Strategic Planning,Microsoft Office,586,h-h
Strategy,Microsoft Office,362,h-h
Training,Microsoft Office,582,h-h
Process Improvement,Microsoft Office,312,h-h
Sales,Microsoft Office,596,h-h
Microsoft Office,Budgets,294,h-h
Microsoft Office,Logistics,106,h-h
Operations Management,Microsoft Office,206,h-h
Project Planning,Microsoft Office,412,h-h
Team Building,Microsoft Office,322,h-h
Negotiation,Microsoft Office,230,h-h
Team Leadership,Change Management,180,h-h
Team Leadership,Program Management,224,h-h
Team Leadership,Project Management,340,h-h
Team Leadership,Business Development,192,h-h
Team Leadership,Strategic Planning,254,h-h
Team Leadership,Strategy,202,h-h
Training,Team Leadership,246,h-h
Team Leadership,Process Improvement,176,h-h
Team Leadership,Sales,174,h-h
Team Leadership,Budgets,152,h-h
Team Leadership,Logistics,62,h-h
Team Leadership,Operations Management,90,h-h
Team Leadership,Project Planning,186,h-h
Team Leadership,Team Building,150,h-h
Team Leadership,Negotiation,112,h-h
Program Management,Change Management,374,h-h
Project Management,Change Management,506,h-h
Change Management,Business Development,316,h-h
Strategic Planning,Change Management,384,h-h
Strategy,Change Management,426,h-h
Training,Change Management,294,h-h
Process Improvement,Change Management,338,h-h
Sales,Change Management,168,h-h
Change Management,Budgets,140,h-h
Logistics,Change Management,46,h-h
Operations Management,Change Management,140,h-h
Project Planning,Change Management,186,h-h
Team Building,Change Management,136,h-h
Negotiation,Change Management,76,h-h
Program Management,Business Development,364,h-h
Strategic Planning,Program Management,474,h-h
Strategy,Program Management,460,h-h
Training,Program Management,354,h-h
Program Management,Process Improvement,342,h-h
Sales,Program Management,188,h-h
Program Management,Budgets,162,h-h
Program Management,Logistics,44,h-h
Program Management,Operations Management,100,h-h
Project Planning,Program Management,330,h-h
Team Building,Program Management,184,h-h
Program Management,Negotiation,116,h-h
Training,Project Management,606,h-h
Project Management,Process Improvement,522,h-h
Project Management,Budgets,288,h-h
Project Management,Logistics,80,h-h
Project Management,Operations Management,234,h-h
Project Planning,Project Management,530,h-h
Team Building,Project Management,318,h-h
Project Management,Negotiation,272,h-h
Training,Business Development,344,h-h
Process Improvement,Business Development,210,h-h
Business Development,Budgets,118,h-h
Logistics,Business Development,30,h-h
Operations Management,Business Development,148,h-h
Project Planning,Business Development,164,h-h
Team Building,Business Development,216,h-h
Negotiation,Business Development,326,h-h
Training,Strategic Planning,496,h-h
Strategic Planning,Process Improvement,324,h-h
Strategic Planning,Budgets,252,h-h
Strategic Planning,Logistics,62,h-h
Strategic Planning,Operations Management,204,h-h
Strategic Planning,Project Planning,258,h-h
Team Building,Strategic Planning,312,h-h
Strategic Planning,Negotiation,312,h-h
Training,Strategy,292,h-h
Strategy,Process Improvement,338,h-h
Strategy,Budgets,144,h-h
Strategy,Logistics,46,h-h
Strategy,Operations Management,138,h-h
Strategy,Project Planning,192,h-h
Team Building,Strategy,162,h-h
Strategy,Negotiation,268,h-h
Training,Process Improvement,226,h-h
Training,Sales,442,h-h
Training,Budgets,146,h-h
Training,Logistics,56,h-h
Training,Operations Management,198,h-h
Training,Project Planning,158,h-h
Training,Team Building,330,h-h
Training,Negotiation,146,h-h
Sales,Process Improvement,140,h-h
Process Improvement,Budgets,188,h-h
Process Improvement,Logistics,62,h-h
Process Improvement,Operations Management,162,h-h
Project Planning,Process Improvement,200,h-h
Team Building,Process Improvement,158,h-h
Process Improvement,Negotiation,64,h-h
Sales,Budgets,96,h-h
Sales,Logistics,54,h-h
Sales,Operations Management,190,h-h
Sales,Project Planning,76,h-h
Team Building,Sales,320,h-h
Logistics,Budgets,58,h-h
Operations Management,Budgets,90,h-h
Project Planning,Budgets,222,h-h
Team Building,Budgets,84,h-h
Negotiation,Budgets,120,h-h
Operations Management,Logistics,78,h-h
Project Planning,Logistics,80,h-h
Team Building,Logistics,56,h-h
Negotiation,Logistics,76,h-h
Project Planning,Operations Management,114,h-h
Team Building,Operations Management,160,h-h
Operations Management,Negotiation,78,h-h
Team Building,Project Planning,94,h-h
Project Planning,Negotiation,122,h-h
Team Building,Negotiation,120,h-h
Testing,Manufacturing,226,h-h
Unix,Manufacturing,22,h-h
Manufacturing,C,110,h-h
Semiconductors,Manufacturing,88,h-h
Manufacturing,Data Analysis,4,h-h
Manufacturing,FMEA,56,h-h
Manufacturing,Debugging,6,h-h
Manufacturing,Labview,4,h-h
Product Engineering,Manufacturing,14,h-h
Manufacturing,ASIC,28,h-h
Manufacturing,Analog,10,h-h
Manufacturing,IC,16,h-h
Mixed Signal,Manufacturing,10,h-h
Manufacturing,Failure Analysis,10,h-h
Yield,Manufacturing,2,l-h
SoC,Manufacturing,10,h-h
Manufacturing,DFT,2,h-l
Manufacturing,JMP,2,h-l
Test Engineering,Manufacturing,2,l-h
Unix,Testing,70,h-h
Testing,C,136,h-h
Testing,Semiconductors,84,h-h
Testing,Data Analysis,4,h-h
Testing,FMEA,26,h-h
Testing,Debugging,12,h-h
Testing,Labview,4,h-h
Testing,Product Engineering,14,h-h
Testing,ASIC,30,h-h
Testing,Analog,12,h-h
Testing,IC,16,h-h
Testing,Mixed Signal,10,h-h
Testing,Failure Analysis,10,h-h
Yield,Testing,2,l-h
Testing,SoC,10,h-h
Testing,DFT,2,h-l
Testing,JMP,2,h-l
Testing,Test Engineering,2,h-l
Unix,C,38,h-h
Unix,Semiconductors,22,h-h
Unix,Data Analysis,2,h-h
Unix,FMEA,2,h-h
Unix,Debugging,8,h-h
Unix,Labview,4,h-h
Unix,Product Engineering,2,h-h
Unix,ASIC,2,h-h
Unix,Analog,2,h-h
Unix,IC,4,h-h
Unix,Mixed Signal,2,h-h
Unix,Failure Analysis,2,h-h
Yield,Unix,2,l-h
Unix,SoC,2,h-h
Unix,DFT,2,h-l
Unix,JMP,2,h-l
Unix,Test Engineering,2,h-l
Semiconductors,C,40,h-h
Data Analysis,C,36,h-h
FMEA,C,4,h-h
Debugging,C,24,h-h
Labview,C,6,h-h
Product Engineering,C,2,h-h
C,ASIC,4,h-h
C,Analog,4,h-h
IC,C,4,h-h
Mixed Signal,C,2,h-h
Failure Analysis,C,2,h-h
Yield,C,2,l-h
SoC,C,2,h-h
DFT,C,2,l-h
JMP,C,2,l-h
Test Engineering,C,2,l-h
Semiconductors,Data Analysis,2,h-h
Semiconductors,FMEA,20,h-h
Semiconductors,Debugging,8,h-h
Semiconductors,Labview,2,h-h
Semiconductors,Product Engineering,14,h-h
Semiconductors,ASIC,30,h-h
Semiconductors,Analog,12,h-h
Semiconductors,IC,16,h-h
Semiconductors,Mixed Signal,10,h-h
Semiconductors,Failure Analysis,6,h-h
Yield,Semiconductors,2,l-h
SoC,Semiconductors,10,h-h
Semiconductors,DFT,2,h-l
Semiconductors,JMP,2,h-l
Test Engineering,Semiconductors,2,l-h
FMEA,Data Analysis,2,h-h
Debugging,Data Analysis,2,h-h
Labview,Data Analysis,2,h-h
Product Engineering,Data Analysis,2,h-h
Data Analysis,ASIC,2,h-h
Data Analysis,Analog,2,h-h
IC,Data Analysis,2,h-h
Mixed Signal,Data Analysis,2,h-h
Failure Analysis,Data Analysis,2,h-h
Yield,Data Analysis,2,l-h
SoC,Data Analysis,2,h-h
Data Analysis,DFT,2,h-l
JMP,Data Analysis,2,l-h
Test Engineering,Data Analysis,2,l-h
FMEA,Debugging,2,h-h
Labview,FMEA,2,h-h
Product Engineering,FMEA,14,h-h
FMEA,ASIC,2,h-h
FMEA,Analog,2,h-h
IC,FMEA,6,h-h
Mixed Signal,FMEA,2,h-h
Failure Analysis,FMEA,10,h-h
Yield,FMEA,2,l-h
SoC,FMEA,2,h-h
FMEA,DFT,2,h-l
JMP,FMEA,2,l-h
Test Engineering,FMEA,2,l-h
Labview,Debugging,2,h-h
Product Engineering,Debugging,2,h-h
Debugging,ASIC,4,h-h
Debugging,Analog,4,h-h
IC,Debugging,4,h-h
Mixed Signal,Debugging,2,h-h
Failure Analysis,Debugging,2,h-h
Yield,Debugging,2,l-h
SoC,Debugging,2,h-h
Debugging,DFT,2,h-l
JMP,Debugging,2,l-h
Test Engineering,Debugging,2,l-h
Product Engineering,Labview,2,h-h
Labview,ASIC,2,h-h
Labview,Analog,2,h-h
Labview,IC,2,h-h
Mixed Signal,Labview,2,h-h
Labview,Failure Analysis,2,h-h
Yield,Labview,2,l-h
SoC,Labview,2,h-h
Labview,DFT,2,h-l
Labview,JMP,2,h-l
Test Engineering,Labview,2,l-h
Product Engineering,ASIC,2,h-h
Product Engineering,Analog,2,h-h
Product Engineering,IC,2,h-h
Product Engineering,Mixed Signal,2,h-h
Product Engineering,Failure Analysis,2,h-h
Yield,Product Engineering,2,l-h
SoC,Product Engineering,2,h-h
Product Engineering,DFT,2,h-l
Product Engineering,JMP,2,h-l
Test Engineering,Product Engineering,2,l-h
Analog,ASIC,12,h-h
IC,ASIC,10,h-h
Mixed Signal,ASIC,10,h-h
Failure Analysis,ASIC,2,h-h
Yield,ASIC,2,l-h
SoC,ASIC,10,h-h
DFT,ASIC,2,l-h
JMP,ASIC,2,l-h
Test Engineering,ASIC,2,l-h
IC,Analog,10,h-h
Mixed Signal,Analog,10,h-h
Failure Analysis,Analog,2,h-h
Yield,Analog,2,l-h
SoC,Analog,10,h-h
DFT,Analog,2,l-h
JMP,Analog,2,l-h
Test Engineering,Analog,2,l-h
Mixed Signal,IC,10,h-h
IC,Failure Analysis,6,h-h
Yield,IC,2,l-h
SoC,IC,10,h-h
IC,DFT,2,h-l
JMP,IC,2,l-h
Test Engineering,IC,2,l-h
Mixed Signal,Failure Analysis,2,h-h
Yield,Mixed Signal,2,l-h
SoC,Mixed Signal,10,h-h
Mixed Signal,DFT,2,h-l
Mixed Signal,JMP,2,h-l
Test Engineering,Mixed Signal,2,l-h
Yield,Failure Analysis,2,l-h
SoC,Failure Analysis,2,h-h
Failure Analysis,DFT,2,h-l
JMP,Failure Analysis,2,l-h
Test Engineering,Failure Analysis,2,l-h
Yield,SoC,2,l-h
Yield,DFT,2,l-l
Yield,JMP,2,l-l
Yield,Test Engineering,2,l-l
SoC,DFT,2,h-l
SoC,JMP,2,h-l
Test Engineering,SoC,2,l-h
JMP,DFT,2,l-l
Test Engineering,DFT,2,l-l
Test Engineering,JMP,2,l-l
Microsoft Excel,Customer Service,712,h-h
Teamwork,Customer Service,216,h-h
Time Management,Customer Service,204,h-h
Marketing,Customer Service,834,h-h
HTML,Customer Service,18,h-h
Customer Service,Business Planning,16,h-h
Inventory Management,Customer Service,136,h-h
SAP,Customer Service,22,h-h
Public Relations,Customer Service,182,h-h
Data Analysis,Customer Service,44,h-h
Customer Service,Coaching,64,h-h
Customer Service,Analytical Skills,8,h-h
